Table,Description,#,Alpha,coin,Item,other wearables,Ring,Amulet,Food,Armor,Int Spell,Wis Power,Weapon,Melee,Ranged,trap
Cursed,"20: Needle Glove: Trap, A metal gauntlet with poison finger needles, 1 HP damage per round until you eat",20,n,,,,,,,,,,,,,x
Cursed,"21: Magic Bomb: Trap, If looted, explodes in a cloud of gas FAR range, This gas nullifies all magic 1D4 ROUNDS",21,m,,,,,,,,,,,,,x
Cursed,"22: Fish Boots: Armor, +1 Armor, When swimming move up to DOUBLE FAR, slowly grow gills",22,f,,,,,,,x,,,,,,
Cursed,"23: Helm of Toads: Armor, +2 Armor, -3 CHA, HARD STR to remove, Croak after speaking, Speak to Toads",23,h,,,,,,,x,,,,,,
Cursed,"24: Bow of Hatred: Weapon, Magical, HARD WIS to put down, Failed attacks hit a random target",24,b,,,,,,,,,,x,,x,
Cursed,"25: Freezing Blade: Weapon, Magical, HARD WIS and 2D6 cold damage to put down",25,f,,,,,,,,,,x,x,,
Cursed,"26: Kthuul Parasite: Trap, Attach to face, Roll 1D6 every turn, if 1 it controls you, HARD CON to remove",26,k,,,,,,,,,,,,,x
Cursed,"27: Kthuul Egg Layer: Trap, Small nodule blasts a cloud of tiny spores, in 1D8 ROUNDS, it hatches inside you...",27,k,,,,,,,,,,,,,x
Cursed,"28: Kthuul Spine: Trap, A black spine of chitin sticks through your hand for 1D6 Damage",28,k,,,,,,,,,,,,,x
Cursed,"29: Kthuul Breather: Armor, +2 Armor, -2 CHA, Breathe anywhere, if worn 1D8 ROUNDS, cannot be removed",29,k,,,,,,,x,,,,,,
Cursed,"30: Tentacle Glove: Item, Roll Magical for Basic Effort, +2 STR, -3 CHA, A hideous barbed whip replaces one arm",30,t,,x,x,,,,,,,,,,
Cursed,"31: Sticky Ice: Trap, Looter is stuck to a magically frozen chest, immobilized until chest destroyed",31,s,,,,,,,,,,,,,x
Cursed,"32: Drunk’s Tankard: Item, HARD CON and -1 CON to put down, Constantly thirst for Gar",32,d,,x,,,,,,,,,,,
Cursed,"33: Amulet of Certainty: Item, HARD CHA to remove, +1 CHA, Stride boldly into all dangers as if invincible",33,a,,x,,,x,,,,,,,,
Cursed,"34: Crow’s Foot: Item, Natural 20 to put down, Covet the Crow’s Foot over all other things, even allies",34,c,,x,,,,,,,,,,,
Cursed,"35: Staff of Serpents: Item, Once learned gains its own +3 CHA, wills user to sadistic use of magic",35,s,,x,,,,,,,,x,x,,
Cursed,"36: Cloak of Vapor: Armor, +2 Armor, Stealth Checks are EASY, If worn 1D8 days slowly become vaporous",36,c,,,,,,,x,,,,,,
Cursed,"37: War Axe of Skulls: Weapon, Magical, HARD CHA to put down, Axe has +3 CHA, forces you to collect skulls",37,w,,,,,,,,,,x,x,,
Cursed,"38: Mask of Horrors: Trap, A hideously deformed human face, -5 CHA, 2D12 damage to remove",38,m,,,,,,,,,,,,,x
Cursed,"39: Fungus Burger: Food, Heal 1 HP, Lose -2 HP per round, and all CON Checks HARD until healed to full",39,f,,,,,,x,,,,,,,
Cursed,"40: Vision of Fear: Trap, An illusory presence of raw fear, Looter must flee FAR in a random direction",40,v,,,,,,,,,,,,,x
Cursed,"41: A Lovely Box: Trap, HARD CHA roll to put down, You must never open it, NO ONE can ever open it! Mine!",41,a,,,,,,,,,,,,,x
Cursed,"42: Ugly Stick: Weapon, Magical Staff, Do -1 CHA damage the first time you hit a target",42,u,,,,,,,,,,x,x,,
Cursed,"43: Hungry Bread: Food, Heal 1D6 HP, Become ravenously, insatiably hungry for 1D6 days",43,h,,,,,,x,,,,,,,
Cursed,"44: Liar’s Dice: Item, For the next 3 rolls you make, lie to your group about what you rolled, then destroy",44,l,,x,,,,,,,,,,,
Cursed,"45: Ring of Betrayal: Item, HARD CON to remove, Choose a random ally, become convinced they want you dead",45,r,,x,,x,,,,,,,,,
Cursed,"46: Necklace of Decay: Item, HARD CON to remove, Age 10 years every round",46,n,,x,,,x,,,,,,,,
Cursed,"47: Ring of Flame: Item, Add 1D6 Fire Damage to attacks, Flammable items on your person slowly burn away",47,r,,x,,x,,,,,,,,,
Cursed,"48: Woodbane Crown: Item, Do double EFFORT against anything wooden, your wooden items slowly fall apart",48,w,,x,x,,,,,,,,,,
Cursed,"49: Mira’s Broach: Trap, HARD CON to remove, Red Gem sucks 2 HP per successful attack, Thirsty for blood",49,m,,,,,,,,,,,,,x
Cursed,"50: Belt of Burdens: Trap, HARD STR to remove, A crushing weight, Occupies 5 EQUIPPED gear slots",50,b,,,,,,,,,,,,,x
Cursed,"51: Glowcap Mushroom: Food, Heal 1 HEART of HP, Experience bonzo hallucinations for 1D4 days",51,g,,,,,,x,,,,,,,
Cursed,"52: Fel Armor: Armor, +6 Armor, No other Armor can be Equipped, slowly take on evil habits and appearance",52,f,,,,,,,x,,,,,,
Cursed,"53: Fel Cleaver: Weapon, Magical, HARD STR to put down, When you make a kill, attack a random NEAR target",53,f,,,,,,,,,,x,x,,
Cursed,"54: Helm of the Dead: Armor, +2 Armor, Take on the properties of the undead, Removable only when DYING",54,h,,,,,,,x,,,,,,
Cursed,"55: Flower Demon: Trap, Looter unleashes a tiny demon, everywhere it goes is choked with vines and flowers",55,f,,,,,,,,,,,,,x
Cursed,"56: Gnomish Gar: Food, Drop to 0 HP, If you regain HP, become a Grey Gnome, -3 CHA, -2 STR for 1D4 days",56,g,,,,,,x,,,,,,,
Cursed,"57: Book of Lies: Item, HARD INT to break its spell, Become convinced of false facts, all INT checks are HARD",57,b,,x,,,,,,,,,,,
Cursed,"58: Magnetic Crossbow: Weapon, +2 Attempts and Effort, HARD STR to separate from metal armor",58,m,,,,,,,,,,x,,x,
Cursed,"59: Liar’s Compass: Trap, HARD INT to put down, Become convinced the worst way is the best way",59,l,,,,,,,,,,,,,x
Cursed,"60: Giggles: Trap, A cute cuddly monkey doll, CHA 18 2 to put down, Giggle almost constantly, at awful things",60,g,,,,,,,,,,,,,x
Cursed,"61: Swamp Gar: Food, Lose 3 HP, Mucky mud beer makes you UNABLE TO EAT for 1D6 days",61,s,,,,,,x,,,,,,,
Cursed,"62: Spider Pack: Item, An insectoid satchel that won’t let go, STR 15 1 to remove, -5 CHA, Reduce Carry to 5",62,s,,x,,,,,,,,,,,
Cursed,"63: Black Heart Stone: Trap, You only have 1 HEART for 1D4 days, no matter your actual max",63,b,,,,,,,,,,,,,x
Cursed,"64: Aazul’s Conjuration: INT Spell, Summon 1D4 imp demons who crave living flesh",64,a,,,,,,,,x,,,,,
Cursed,"65: Ring of Death Wish: Item, HARD INT to remove, Have a sudden and potent will to die with glory",65,r,,x,,x,,,,,,,,,
Cursed,"66: Effigy of Azatoth: Trap, A fiendish little statue, Once touched, for 1D4 days any blood loss spawns a tentacle",66,e,,,,,,,,,,,,,x
Cursed,"67: Hunter Orb: Trap, A relentless adamantium orb flies out and hunts you and allies, 3 HEARTS, Magic",67,h,,,,,,,,,,,,,x
Cursed,"68: Impaler’s Spear: Weapon, Magical, HARD CHA to put down, Be compelled to pike your victims",68,i,,,,,,,,,,x,x,,
Cursed,"69: Whispering Amulet: Item, HARD CHA to remove, It just won’t shut up, All Stealth checks are HARD",69,w,,x,,,x,,,,,,,,
Cursed,70: Pouch of 100 Counterfeit Coin: Merchants and others hate you for duping them,70,p,x,x,,,,,,,,,,,
Cursed,"71: Agnar Helmet: Armor, +2 Armor, HARD STR to remove, Gain only half of any benefit from FOOD",71,a,,,,,,,x,,,,,,
Cursed,"72: Dead Man’s Mug: Item, HARD CHA to put down, Invert any benefits from drink into harm",72,d,,x,,,,,,,,,,,
Cursed,"73: Book of Forgetting: Trap, Falls apart when read, Lose track of ONE EQUIPPED LOOT for 1D4 days",73,b,,,,,,,,,,,,,x
Cursed,"74: Gar Swill: Food, 6 sips, Take 2 damage with each sip, but be hopelessly addicted for 1D4 days",74,g,,,,,,x,,,,,,,
Cursed,"75: Reaver’s Scythe: Weapon, Magical, HARD CHA to put down, You are now forbidden to heal allies",75,r,,,,,,,,,,x,m,,
Cursed,"76: Fool’s Armor Kit: Trap, When used, deduct 1 from your Armor total",76,f,,,,,,,,,,,,,x
Cursed,"77: Fool’s Weapon Kit: Trap, The weapon you modify will BREAK on its next failed attack",77,f,,,,,,,,,,,,,x
Cursed,"78: Exploding Thorn Whips: Trap, Once LOOTED, you and all NEAR ALLIES are immobilized for 1D4 ROUNDS",78,e,,,,,,,,,,,,,x
Cursed,"79: Rotted Pipeweed: Item, HARD INT to put down, Addictive, When smoked nullify INT bonus for 1D4 hours",79,r,,x,,,,,,,,,,,
Cursed,"80: Dizzy Gas: Trap, Looter breathes a poof of purple mist, All DEX rolls are HARD for 1D4 days",80,d,,,,,,,,,,,,,x
Cursed,"81: Eye Mites: Trap, A colony of tiny mites explodes into your eyes, go BLIND for 1D4 hours",81,e,,,,,,,,,,,,,x
Cursed,"82: Dagger of Spite: Weapon, HARD CHA to put down, Anytime you are persuaded, stab that person!",82,d,,,,,,,,,,x,x,,
Cursed,"83: Skull Bracelet: Item, HARD INT to put down, When worn, re-roll DYING if above 3",83,s,,x,,x,,,,,,,,,
Cursed,"84: Blade of Greed: Weapon, Magical, A golden Gladius, HARD CHA to put down, Go after EVERY CHEST",84,b,,,,,,,,,,x,x,,
Cursed,"85: Cloak of Despair: Armor, +1 Armor, HARD CHA to remove, Constantly doom-say your allies’ plans",85,c,,,,,,,x,,,,,,
Cursed,"86: Pure Beauty: Trap, HARD CHA to look away once opened, If others look, same escape required",86,p,,,,,,,,,,,,,x
Cursed,"87: Ray of Death: Trap, Make a CON check or be instantly reduced to 0 HP by a black ray of magic",87,r,,,,,,,,,,,,,x
Cursed,"88: Cap of Madness: Item, HARD INT to remove, All INT checks are HARD, Go completely stark raving bonkers",88,c,,x,x,,,,,,,,,,
Cursed,"89: Bloodwine: Food, Lose 4 HP, You are unable to heal any HP until you drink human blood once",89,b,,,,,,x,,,,,,,
Cursed,"90: Feral Fur Coat: Armor, +3 Armor, HARD CHA to remove, Become totally animalistic in action and thought",90,f,,,,,,,x,,,,,,
Cursed,"91: Beltstone: Item, HARD INT to remove, When worn, take double damage from any fall",91,b,,x,x,,,,,,,,,,
Cursed,"92: Timeslip: Trap, Whatever the DM’s timer reads when LOOTED, accelerate it by 1",92,t,,,,,,,,,,,,,x
Cursed,"93: Booby-trapped Arrow: 1 Ammo, When fired, do Magical Damage to anything within FAR range",93,b,,,,,,,,,,,,,x
Cursed,"94: Blade of Azatoth: Weapon, Magical, A tentacle-like sword, Become convinced The Devourer must arise",94,b,,,,,,,,,,x,x,,
Cursed,"95: Cuirass of Rising: Armor, +3 Armor, to remove, Any dead things NEAR you arise as undead",95,c,,,,,,,x,,,,,,
Cursed,"96: Berserk Helm: Armor, +2 Armor, Double your WEAPONS EFFORT bonus, but choose targets randomly",96,b,,,,,,,x,,,,,,
Cursed,"97: Olive Branch: Item, HARD CHA to put down, Refuse to hurt any living thing",97,o,,x,,,,,,,,,,,
Cursed,"98: Stink Bomb: Trap, You and your allies smell awful, -5 CHA and smell for 1 mile for 1D4 days",98,s,,,,,,,,,,,,,s
Cursed,"99: Cold Iron Cross: Item, HARD WIS to remove, You cannot use WIS powers",99,c,,x,,,,,,,,,,,
Cursed,"100: Key of the Ogdru: Item, If used, a magical keyhole appears, it widens to summon 1D8 Giant Tentacles",100,k,,x,,,,,,,,,,,
Epic,1: Heart Stone: Add 1 HEART to your max,1,h,,x,,,,,,,,,,,
Epic,"2: Fighter’s Girdle: Armor, +1 Armor, When DYING, add 2 to your roll",2,f,,,,,,,x,,,,,,
Epic,3: King’s Coins: Gain 3 HERO COINS that can be given to OTHER PLAYERS for heroic deeds,3,k,,x,,,,,,,,,,,
Epic,"4: Chain Energy Gem: Item, Attach to a weapon, Make that weapon Magical, Effort done hits all CLOSE enemies",4,c,,x,,,,,,,,,,,
Epic,"5: Gemini Jewel: Item, Attune to any INT SPELL, That spell now casts twice when used, on Targets of choice",5,g,,x,,,,,,,,,,,
Epic,"6: Salamander Wristlet: Item, Regenerate 1 HP each round, unless DYING",6,s,,x,,x,,,,,,,,,
Epic,"7: Frost Bracers: Armor, +3 Armor, Become immune to any damage done or ill effects of cold",7,f,,,,,,,x,,,,,,
Epic,"8: Acid Whetstone: Item, Sharpen a bladed weapon, Successful attacks with that weapon destroy 1 enemy gear",8,a,,x,,,,,,,,,,,
Epic,"9: Helmet of Udin: Armor, +4 Armor, +3 CHA, Allies NEAR you gain +1 Armor",9,h,,,,,,,x,,,,,,
Epic,"10: Ring of Invisibility: Item, Make a WIS check to activate, remain invisible for 1D4 ROUNDS",10,r,,x,,x,,,,,,,,,
Epic,"11: Crown of Goblins: Item, Command all Goblins with absolute authority, even if they hate you",11,c,,x,x,,,,,,,,,,
Epic,"12: Illusory Self: INT SPELL, Conjure a very realistic mirror-clone of yourself",12,i,,,,,,,,x,,,,x,
Epic,"13: Dimension Jump: INT SPELL, Warp to any location you can see or can accurately remember",13,d,,,,,,,,x,,,,x,
Epic,"14: Antlers of the Storm: Armor, +3 Armor, With a WIS check you can command the weather when outdoors",14,a,,,,,,,x,,,,,,
Epic,"15: Hand of Resurrection: Item, Raise 1 dead creature back to full HP, roll 1D4, if a 1 or 2 the item is destroyed",15,h,,x,,,,,,,,,,,
Epic,"16: Dire Bear: WIS POWER, Become a colossal bear for 1D4 ROUNDS, Add 1 HEART, Double bonuses",16,d,,,,,,,,,x,,x,,
Epic,"17: Iron Skin: WIS POWER, Your ARMOR is 20 for 1D4 ROUNDS",17,i,,,,,,,,,x,,x,,
Epic,"18: Hoppy Gar: Food, Heal to Full HP, All checks are EASY for 1D4 ROUNDS",18,h,,,,,,x,,,,,,,
Epic,"19: Dwarven Bomb: Weapon, Fuse burns for 1D4 ROUNDS, Explodes doing 4D12 to anything NEAR",19,d,,,,,,,,,,x,,x,
Epic,"20: Hood of Fear: Armor, +3 Armor, Any enemies who can see you make a WIS check or flee on their turn",20,h,,,,,,,x,,,,,,
Epic,"21: Diamond Tiara: Item, A crown worth more than a small city",21,d,,x,x,,,,,,,,,,
Epic,"22: Ivory Rose: Item, Bestow this on one person, that person will guard you with their life",22,i,,x,,,,,,,,,,,
Epic,"23: Tooth of the Agnar: Item, Attach to 1 Weapon, That weapon does ULTIMATE Effort on any roll of 15+",23,t,,x,,,,,,,,,,,
Epic,"24: Magma Coil: Item, Give off a belch of smoke and fire to make any STR check EASY or STR EFFORT Ultimate",24,m,,x,,,,,,,,,,,
Epic,"25: Frog Boots: Armor, +2 Armor, When moving FAR, leap with ease",25,f,,,,,,,x,,,,,,
Epic,"26: Heroic Tabard: Item, Whenever you cry “Huzzah!” those who answer “Huzzah!” roll EASY on their next turn",26,h,,x,x,,,,,,,,,,
Epic,"27: Song of the Mountain: INT SPELL, Sing! All enemies within FAR range are -5 CHA to resist persuasion",27,s,,,,,,,,x,,,,x,
Epic,"28: Harpoon Gun: Weapon, Magical, Attack to grapple a foe with a +5 STR if they try to escape",28,h,,,,,,,,,,x,x,,
Epic,"29: Bow of Seeking: Weapon, Magical, If you know a target’s name, you never miss it, even around corners",29,b,,,,,,,,,,x,,x,
Epic,"30: Pet Slime Cube: Item, This tiny Slime Cube has imprinted on you as parent, 3” on a side",30,p,,x,,,,,,,,,,,
Epic,"31: Pet Goblin: Item, This hapless, gearless runt has sworn never to leave your side",31,p,,x,,,,,,,,,,,
Epic,"32: Fire Blade: Weapon, Magical, +3 Attempts/Effort, Ignites flammables, 1D4 Burning for 1D4 ROUNDS",32,f,,,,,,,,,,x,x,,
Epic,"33: Wave of Fury: WIS POWER, If NEAR the ocean, call forth a massive wave, impacts in 1D4 ROUNDS",33,w,,,,,,,,,x,,,x,
Epic,"34: Gravity Inversion: INT SPELL, Invert gravity within FAR range for 1D4 ROUNDS",34,g,,,,,,,,x,,,,x,
Epic,"35: Brain Horror Helm: Armor, +3 Armor, Gain the ‘It shows you things’ property of a Brain Horror",35,b,,,,,,,x,,,,,,
Epic,"36: Gunner’s Tripod: Item, Gain +5 Attempts/Effort when firing at targets beyond FAR range with a Weapon",36,g,,x,,,,,,,,,,,
Epic,"37: Watcher: Item, A small glass eye, place anywhere and see through it within 1 mile",37,w,,x,,,,,,,,,,,
Epic,"38: Dobbs’ Cheddar: Food, 3 Count, Add to any FOOD to double that FOOD’s effects",38,d,,,,,,x,,,,,,,
Epic,"39: Yalfonso’s Disc: Item, A frictionless, levitating disc of energy that holds up to 200 pounds",39,y,,x,,,,,,,,,,,
Epic,"40: Ramthas Battle Harness: Armor, +1 Armor, Gain 3 more slots in EQUIPPED gear",40,r,,,,,,,x,,,,,,
Epic,"41: Ronaldo’s Backwagon: Item, Gain 10 more slots in CARRIED gear",41,r,,x,x,,,,,,,,,,
Epic,"42: Call of Aram: Item, A mighty war horn, Sound a call that can be heard for 5 miles, with a +3 CHA",42,c,,x,,,,,,,,,,,
Epic,"43: Genetic Soup: Food, changes the eater into a random new BIO-FORM instantly",43,g,,,,,,x,,,,,,,
Epic,"44: Runic Rope: Item, ANY roll using this rope is EASY, 50’",44,r,,x,,,,,,,,,,,
Epic,"45: Thoor’s Stone: Item, Only the looter of this object is able to lift or move it, a baseball-sized cube",45,t,,x,,,,,,,,,,,
Epic,"46: Gnomish Beam Goggles: Armor, +2 Armor, Fires a ray of ULTIMATE Weapon damage, but attacks are HARD",46,g,,,,,,,x,,,,,,
Epic,"47: Feral Claws: Weapon, Magical, +3 Attempts, Retractable steel blades, Roll EFFORT TWICE on a hit",47,f,,,,,,,,,,x,x,,
Epic,"48: Belt of Guzzling: Armor, +4 Armor, Never fail another CON check",48,b,,,,,,,x,,,,,,
Epic,"49: Book of Infinity: Item, You have perfect recall of every fact or detail you have ever encountered",49,b,,x,,,,,,,,,,,
Epic,"50: Amulet of Thunder: Item, When rolling ULTIMATE, re-roll anything less than a 6, the second roll is final",50,a,,x,,,,,,,,,,,
Epic,"51: Lemninkainen’s Wondrous Sack: Item, Increase your CARRIED gear slots to 20",51,l,,x,x,,,,,,,,,,
Epic,"52: Akintu: Item, An odd tiki statue that brings good luck, When you roll a 19, treat it as a 20",52,a,,x,,,,,,,,,,,
Epic,"53: Enchanted Sandwich: Food, Never ages or spoils, 5 bites, 1 Bite heals 1D8 HP, When finished gain +1 CON",53,e,,,,,,x,,,,,,,
Epic,"54: Cloud Buffalo: A steed that descends from the sky on command, carries 8 people and 10 LOOT",54,c,,x,,,,,,,,,,,
Epic,"55: Red Fang: Weapon, Magical Great Sword, Any damage you do with Red Fang, heal half that amount",55,r,,,,,,,,,,x,x,,
Epic,"56: Crystal Darts: Weapon/Ammo, 3 Count, Magical, Immobilize a target, in 1D4 ROUNDS explode for 2D12",56,c,,,,,,,,,,x,,x,
Epic,"57: Earth’s Heart: Item, A massive ruby, the biggest, most rare jewel in all the world",57,e,,x,,,,,,,,,,,
Epic,"58: Gnomish Metal Melter: Item, 1D4 ROUNDS to reach full power, then vaporizes ANY NEAR metal objects",58,g,,x,,,,,,,,,,,
Epic,"59: Ghost Trap: Item, Holds up to 5 non-corporeal beings, simply place, wait, and trigger, Target gets DEX check",59,g,,,,,,,,,,,,,x
Epic,"60: Adamantium Armor: Armor, +8 Armor, Ignore any Damage below 3, Reduce Equipped GEAR to 5 slots",60,a,,,,,,,x,,,,,,
Epic,"61: Clockwork Arm: Item, Prosthetic, +3 STR, all STR checks are EASY, -1 CHA",61,c,,x,x,,,,,,,,,,
Epic,"62: Juice of Sapho: Food, +8 INT, Triple the EFFORT of your next SPELL",62,j,,,,,,x,,,,,,,
Epic,"63: Styll Suit: Armor, +4 Armor, Wear no other ARMOR, Breathe anywhere, never hungry, heal 2 HP per round",63,s,,,,,,,x,,,,,,
Epic,"64: Bracelet of Thoor: Item, +2 STR",64,b,,x,,x,,,,,,,,,
Epic,"65: Ring of Quickness: Item, +2 DEX",65,r,,x,,x,,,,,,,,,
Epic,"66: Drunken Hauberk: Armor, +2 Armor, +2 CON, Never fail a test involving Gar",66,d,,,,,,,x,,,,,,
Epic,"67: Sage’s Crystal: Item, +2 INT",67,s,,x,,,,,,,,,,,
Epic,"68: Effigy of Osric: Item, +2 WIS",68,e,,x,,,,,,,,,,,
Epic,"69: Gleaming Gorget: Armor, +1 armor, +2 CHA",69,g,,,,,,,x,,,,,,
Epic,"70: Dagger of the Unseen: Weapon, Magical, If attack undetected, any human-sized victim is reduced to 0 HP",70,d,,,,,,,,,,x,x,,
Epic,"71: Headsman’s Shovel: Weapon, Magical, On a 20, automatically behead any human-sized target",71,h,,,,,,,,,,x,x,,
Epic,"72: The Hidden: INT SPELL, Allies NEAR are invisible for 1D4 ROUNDS, They become visible if they move away",72,t,,,,,,,,x,,,,x,
Epic,"73: Slayer’s Helm: Armor, +2 Armor, +6 Weapon Effort",73,s,,,,,,,x,,,,,,
Epic,"74: Eye of Azatoth: Item, Amulet, +6 Magical Effort",74,e,,x,,,x,,,,,,,,
Epic,"75: Boon of the Gods: Item, Grant one OTHER PLAYER a class Milestone Reward of their choice, one use",75,b,,x,,,,,,,,,,,
Epic,"76: Timecap Mushroom: FOOD, SKIP the next DM’s turn",76,t,,,,,,x,,,,,,,
Epic,77: Roll Twice on the ANCIENT LOOT table,77,r,,,,,,,,,,,,,
Epic,"78: Shrink Ray: INT SPELL, Reduce one target to 1/100th its size for 1D4 ROUNDS",78,s,,,,,,,,x,,,,x,
Epic,"79: Giant Growth: WIS POWER, Grow one target to 5x its size for 1D4 ROUNDS",79,g,,,,,,,,,x,,,x,
Epic,"80: Osric’s Bulwark Wall: WIS POWER, Form a massive castle wall from boulders or cobbles",80,o,,,,,,,,,x,,,x,
Epic,"81: Destroy the Dead: INT SPELL, Annihilate 1 Undead per 1 HP burned, FAR range",81,d,,,,,,,,x,,,,x,
Epic,"82: Ghost Ship: Item, Conjure a black galleon, no crew, that will last 1D4 weeks before dissipating",82,g,,x,,,,,,,,,,,
Epic,"83: Dragon’s Blood: Food, Grow wings and breathe fire for 1D4 ROUNDS",83,d,,,,,,x,,,,,,,
Epic,"84: Gungnir: Weapon, Magical, Spear, Smite the ground to pass final judgment, +10 CHA for 1 mile",84,g,,,,,,,,,,x,x,x,
Epic,"85: Cosmic Gateway: Item, Open a door, access ANY world in the cosmos, burn 8 HP to walk through",85,c,,x,,,,,,,,,,,
Epic,"86: Invulnerability: WIS POWER, Anoint one target with touch, they cannot be harmed for 1D8 ROUNDS",86,i,,,,,,,,,x,,x,,
Epic,"87: Sherherezazahd: Item, A ghostly sword that fights at your side, add Magical Weapon effort to all attacks",87,s,,x,,,,,,,,x,x,,
Epic,"88: Time Doorway: Item, Access ANY time at current location, age 10 years to go through",88,t,,x,,,,,,,,,,,
Epic,"89: Stench Gar: Food, Release a poisonous belch, Reduce one NEAR creature to 1 HEART",89,s,,,,,,x,,,,,,,
Epic,"90: Lifewalker: Item, Leave a trail of flowers and growth wherever you go, those within heal 2 HP per round",90,l,,x,,,,,,,,,,,
Epic,"91: Hammer of Hell: Weapon, Magical, All EFFORT done with this weapon affects all NEAR enemies",91,h,,,,,,,,,,x,x,x,
Epic,"92: Wings of Gabriel: Armor, +5 Armor, Foldable, Fly at will, Double your maximum move range",92,w,,,,,,,x,,,,,,
Epic,"93: Wishing Well: Item, Immovable once used, Make 1 WISH per YEAR, it will come true within 1D4 days",93,w,,x,,,,,,,,,,,
Epic,"94: Book of Mastery: Item, 3 pages, each decoded with an INT roll, Learn 1 Milestone Reward of any class",94,b,,x,,,,,,,,,,,
Epic,"95: Star of Unadai: Food, Gain +1 to all STATS",95,s,,,,,,x,,,,,,,
Epic,"96: Vision of Perfection: Trap, Reveal to one EVIL being, unless it makes a HARD CHA check, it becomes GOOD",96,b,,,,,,,,,,,,,x
Epic,"97: Water of Life: Food, Die, Return to life 1D4 ROUNDS later with 2 additional HEARTS",97,w,,,,,,x,,,,,,,
Epic,"98: Mead of Udin: Food, All who drink awake the next day with an additional HEART",98,m,,,,,,x,,,,,,,
Epic,"99: Shield of Angels: Armor, +6 Armor, You and all NEAR allies ignore any damage of 5 or less",99,s,,,,,,,x,,,,,,
Epic,"100:Necronomicon: Item, Create 1 INT SPELL or WIS POWER with a HARD INT check, learn or teach it instantly",100,n,,x,,,,,,,,,,,
Shabby,"1: Soldier’s Rations: Food, Heal 1D4 HP",1,s,,,,,,x,,,,,,,
Shabby,"2: Captain’s Rations: Food, Heal 1D6 HP",2,c,,,,,,x,,,,,,,
Shabby,3: Coin Pouch: 1D10 Coin,3,c,x,,,,,,,,,,,,
Shabby,4: Coin Satchel: 2D10 Coin,4,c,x,,,,,,,,,,,,
Shabby,"5: Common Sword: Weapon, Standard Steel blade with heavy use",5,c,,,,,,,,,,x,x,,
Shabby,"6: Used Shield: Armor, +2 Armor, Heavily worn, will break on 3rd hit",6,u,,,,,,,x,,,,,,
Shabby,"7: Mechanic’s tools: Item, Hammer, spanner, bits and pieces, roll EASY checks on mechanical tasks",7,m,,x,,,,,,,,,,,
Shabby,"8: Common Helmet: Armor, +1 Armor",8,c,,,,,,,x,,,,,,
Shabby,"9: Worker’s Clothes: Armor, +1 Armor, Durable coveralls, gloves and hat",9,w,,,,,,,x,,,,,,
Shabby,10: Coin Box: 3D12 Coin,10,c,x,,,,,,,,,,,,
Shabby,"11: Lantern: Item, Easy-light box lantern, lights all within NEAR range",11,l,,x,,,,,,,,,,,
Shabby,"12: Climber’s Spikes: Item, Climb a route as normal. Any who follow roll EASY",12,c,,x,,,,,,,,,,,
Shabby,"13: 50’ Rope: Item, 50 feet of sturdy fiber rope coiled up",13,50,,x,,,,,,,,,,,
Shabby,"14: Pry Bar: Item, A 3 foot iron bar with one hooked end, roll EASY when forcing doors",14,p,,x,,,,,,,,,,,
Shabby,"15: First Aid Kit: Item, Bandages and tinctures for field dressing, consume to give a dying ally 1 HP",15,f,,x,,,,,,,,,,,
Shabby,"16: Ladder: Item, A wooden ladder with 12 rungs, 12 feet high",16,l,,x,,,,,,,,,,,
Shabby,"17: Wool Cloak: Armor, +1 Armor, A typical hooded cape for winter wear",17,w,,,,,,,x,,,,,,
Shabby,"18: Skin of Stale Gar: Food, Consume to make your next roll EASY",18,s,,,,,,x,,,,,,,
Shabby,"19: Hunting Snare: Item, Re-usable spring-loaded trap, If triggered will immobilize and do 1 damage",19,h,,x,,,,,,,,,,,x
Shabby,20: Dusty Gem: Worth 1D100 Coin,20,d,x,,,,,,,,,,,,
Shabby,"21: Torch: Item, An-oil soaked stick wrapped in cloth, illuminates NEAR for 1D8 ROUNDS",21,t,,x,,,,,,,,,,,
Shabby,"22: Rivet Kit: Item, A small hammer and press tool used to press rivets through leather or wood",22,r,,x,,,,,,,,,,,
Shabby,"23: Smoke Canister: Item, Destroy to create a cloud of opaque smoke with NEAR radius for 1D4 ROUNDS",23,s,,x,,,,,,,,x,,x,
Shabby,"24: Turkey Leg: Food, Heal 1D10 HP",24,t,,,,,,x,,,,,,,
Shabby,"25: Stimulant Elixir: Food, On your next turn move FAR as if it was NEAR",25,s,,,,,,x,,,,,,,
Shabby,"26: Blank Book: Item, A blank journal-style book with sheathed pen",26,b,,x,,,,,,,,,,,
Shabby,"27: Metal Cutters: Item, A large snip tool for cutting bars or chains, roll Ultimate Effort when doing so",27,m,,x,,,,,,,,,,,
Shabby,"28: Small Tent: Item, Houses 3 individuals, packs into small bundle",28,s,,x,,,,,,,,,,,
Shabby,"29: Canvas Tarp: Item, A durable cloth square NEAR long on each side",29,c,,x,,,,,,,,,,,
Shabby,"30: Worn Parachute: Item, Deploy when falling to nullify fall damage, has 1% chance of failure",30,w,,x,,,,,,,,,,,
Shabby,31: Coin Stash: 2D100 Coin,31,c,x,,,,,,,,,,,,
Shabby,"32: Worn Long Bow: Weapon, Has 10% chance of breaking when used",32,w,,,,,,,,,,x,,x,
